gate,status,value,threshold,blocking,detail,rationale
panel_t_eff,PASS,T_eff = 1.45 of T = 4,>= 1.30,True,"Widen the lookback grid. Measured optima on the 2026-08-18 universe: ('1y','6m','3m') = 1.54, ('6m','3m','1m') = 1.35, ('3m','1m','1w') = 1.19.",Effective independent observations per name. Below ~1.3 the trail is a near-duplicate of the snapshot and a T>1 likelihood over-counts evidence.
panel_kernel_fit,PASS,"rho_inf 0.436, ell 75d, rmse 0.0319",rmse <= 0.08,True,"Implied split: 44% permanent level, 56% decaying (half-life 52d). Compare against the posterior's rho_inf_implied after fitting.",The empirical correlation decay must be describable by the level+OU form the model assumes. A poor fit means the model's latent is the wrong shape.
drift_contrast_leakage,PASS,0 of 9 feature(s) measure the trail's increments (max dominance 1.30),"|corr(contrast)| <= 1.5 x max(|corr(level)|, 0.05)",True,"every feature is measured on the level, as the mean requires. Closest to the margin: feat_eps_signal_beat at dominance 1.30 (-0.08 level vs +0.11 at a 7d gap).","NEW: no drift feature may correlate materially more strongly with a trail CONTRAST than with the response level -- 'materially' being CONTRAST_DOMINANCE_MARGIN, since the bare comparison fires on sampling noise. mu_reg is constant in t, so such content cannot enter the mean -- and under a correlated likelihood the contrast directions carry ~12x the weight of the level, so it is absorbed by distorting the covariance instead. That is the whole of the 2026-08-18 ppc_t_spread / ppc_coverage / ppc_decay failure, and it costs milliseconds to check before the fit."
drift_selection,PASS,9 column(s) admitted; thinnest feat_eps_signal_beat at 86.8%,coverage >= 80% and |r(response)| >= 0.0248,False,"Reported, not gated: select_drift_features_v2 has already applied both floors. A column near the coverage threshold is one refresh away from leaving the design matrix, which changes the model without changing any code.","NEW, reported not gated: how much margin the admitted drift columns have over the coverage and signal floors. A column enters the design matrix mean-imputed wherever it is NULL, so a thin one is not an error, it is an attenuated slope -- feat_eps_signal_surprise sat at 79.1% coverage and |r| 0.007 and was fitted at beta +0.002."
runtime_estimate,PASS,"3.45 ms/grad, 56 free params, ~11.0 min [nutpie/NumbaLinker]",<= 90 min on a compiled sampler,True,"nutpie 0.16.11, 4 chains on 4 cores, assuming ~32 leapfrog steps/draw.","NEW: measured gradient cost x the NUTS budget must fit the runtime budget, on a compiled sampler. Catches in seconds what the 2026-08-18 run discovered 45 minutes in at 400 s/draw."
prior_scale,PASS,prior/empirical 90% width = 7.2x,1x - 10x,False,"prior 90% upside [-92.6%, +500.0%] vs empirical [-8.4%, +74.1%]",Prior-predictive implied upside must cover the empirical range without putting most of its mass outside it.
divergences,PASS,0,0,True,A non-zero count invalidates the geometry regardless of R-hat.,NUTS divergences. Any non-zero value invalidates the geometry.
r_hat,PASS,1.0032 (sigma_state),< 1.01,True,,Between-chain convergence. The project gate is < 1.01.
ess_bulk,PASS,1536 (sigma_state),>= 400,True,,"Bulk ESS floor, MIN_ESS_GATE = 400."
mean_spread,PASS,Var(mu)/Var(y_now) = 0.44,<= 1.00,True,"Var(mu) 0.395, Var(y_now) 0.899, max |beta| 0.395. Above 1 the mean is not explaining the response, it is adding variance to it -- look for a design column the mean cannot legally use (drift_contrast_leakage) before touching the likelihood. This gate is ONE-SIDED and cannot see an under-dispersed mean; mean_calibration can.",NEW: the fitted mean may not have more variance than the response it predicts. Var(mu_reg) reached 2.9x Var(y_snapshot) on 2026-08-18 while every convergence gate passed; one line here would have caught it before the posterior predictive ran.
mean_calibration,PASS,"slope 1.065, 2Cov(mu,resid)/Var(y) = +0.057","slope in [0.90, 1.10]",False,"Slope > 1 means the mean is over-shrunk and the missing permanent variance is parked in Cov(mu, resid), which no replicate reproduces -- read ppc_decay next. Slope < 1 means the mean is over-fitted; read mean_spread and ppc_t_spread. Measured 1.230 / +0.151 on run fa532b925732, which is the whole of that run's ppc_decay failure.","NEW: the slope of the response on the fitted mean must be ~1. An over-shrunk mean does not lose its missing variance, it parks it in Cov(mu, resid) -- and because mu is constant in t that is PERMANENT variance no replicate carries, which is exactly how run fa532b925732 failed ppc_decay (slope 1.230, 15.1% of Var(y_now)) while mean_spread read a healthy 0.33. mean_spread is one-sided and structurally cannot see this; that is why both exist."
ppc_t_spread,PASS,"IQR obs 1.026 vs rep [0.999, 1.038]",observed IQR inside the replicated 94% interval,True,"sd for reference: obs 1.000, replicated median 0.960 (ratio 0.96x — expected to exceed 1 under a Student-t and not gated)","Replicated INTERQUARTILE RANGE must contain the observed one. Measured robustly on purpose: comparing standard deviations under a Student-t mostly reports nu, since the t's variance is dominated by tail mass its density fit does not chase."
ppc_coverage,PASS,0.934 - 0.946 (target 0.94),within +/-0.02,True,"per-step: [0.9407, 0.946, 0.9388, 0.9344]; scored cells per step [6393, 6402, 6504, 6507]","Per-time predictive interval coverage against its nominal target. Over-shooting means intervals are too wide, not that the model is safe."
ppc_decay,PASS,"rho_inf obs 0.436 vs rep [0.377, 0.450]",observed inside the replicated 94% interval,True,"Mean carries Var(mu)/(Var(mu)+Var(resid)) = 0.422 of the response; the covariance carries the rest. The mean's share is a FLOOR on the replicated rho_inf, so a replicated value below the observed one with a healthy residual decay means the mean is too small -- check mean_calibration before touching rho_inf or the OU length scale. Read alongside ppc_decay_residual, which removes the mean from both sides.","NEW: replicated data must reproduce the observed correlation decay, not just the marginal spread. A model can match the variance of a panel while getting its time structure completely wrong -- v1 did."
ppc_decay_residual,PASS,"rho_inf obs 0.0231 vs rep [0.0000, 0.0415]","observed <= replicated hi, and >= replicated lo - 0.05 (one-sided; see GATE_DECAY_RESIDUAL_TOL)",False,"Same statistic as ppc_decay with the posterior-mean mean removed from both sides. Failing here too points at the covariance; passing here while ppc_decay fails points at the mean, so read mean_spread next. BELOW the interval the model over-states permanent residual correlation (conservative, tolerated to the stated margin); ABOVE it the data carries permanent structure the model does not reproduce, which is the failure this exists to catch.","NEW, reported not gated: ppc_decay with the posterior-mean mean removed from both sides. A mean that is constant in time contributes the same constant at every gap, so it reads as a permanent level and hides whether a decay failure is in the mean or in the covariance. The containment test is ONE-SIDED (GATE_DECAY_RESIDUAL_TOL): rho_inf is bounded below at 0 and sits ON that boundary once the mean has absorbed the permanent structure, while replicate fits of a boundary parameter scatter positive -- so a two-sided interval of them cannot contain the boundary from below. Observed BELOW is the conservative direction and is tolerated to the margin; observed ABOVE is the missing-permanent-structure failure and is reported at any margin."
shrinkage_slope,PASS,"slope 0.833, shift -0.0077, above 49.9%, rho 0.99224, median revision 1.05pp (intercept +0.0343)","slope in [0.8, 0.98], |shift| <= 0.02, rho <= 0.995, revision >= 0.25pp",True,"A shift of the centre is a universe-wide offset, not a signal. Expect ~50% of names above consensus, not 80%. A rho at the ceiling or a revision at the floor means the opposite failure: the screen is a consensus sort, and the drift betas and the hierarchy are being estimated but are not reaching the exported number. The intercept is reported for continuity but is not graded -- it equals (1 - slope) * centre.","NEW: regressing expected upside on analyst-implied upside must give a slope near 1 and an intercept near 0. An intercept is a uniform offset applied to the whole universe, which is what took names-above-consensus from 62% to 81% between two runs with nothing failing."
coverage_gradient,PASS,"monotone, spread 2.42x","monotone decreasing, spread >= 2x (posterior sd)",False,"mean expected_upside_sd by bucket: {'1-3': 0.0754, '4-8': 0.0659, '9-20': 0.0467, '21+': 0.0311}; forward-return er_sd {'1-3': 0.2905, '4-8': 0.2665, '9-20': 0.2246, '21+': 0.182} (spread 1.60x, reported not gated: its steepness is set by forecast_error_n_exponent, a prior)","NEW: posterior uncertainty must decrease monotonically with analyst coverage. A flat or inverted gradient means the hierarchy is not pricing information. Graded on `expected_upside_sd`, the ESTIMATE's own sd, which is the quantity that claim is about. It read `er_sd` until 2026-08-27 via an `in cov.columns` fallback that silently became the primary when the 2026-08-20 change made `er_sd` the forward-return sd: on run 6efb530d5881 the posterior leg was 2.9-6.4% of that column's variance and the composite warned at 1.52x while the posterior sd ran 2.24x. The forward-return gradient is now reported beside it and never graded -- its steepness is set by `forecast_error_n_exponent`, a prior the panel cannot identify, so a threshold would test only that the prior was applied."
prob_pos_degenerate,PASS,"59.5% pinned at 1.0, p_upside_pos_cond span 0.595","pinned <= 60%, p_upside_pos_cond p95-p05 >= 0.30",False,"prob_pos is a REPORTED diagnostic and is never ranked on. p_upside_pos_cond is the primary probability column -- since 2026-08-20 it is P(risk-adjusted forward return > 0) computed directly from the MC draws, not the old mc_prob_pos * sigmoid product. The export ranks on it and suppresses it alongside the other out-of-support metrics.",NEW: warn when prob_pos is pinned at 1.0 for most of the universe. It cannot order a ranking in that state and p_upside_pos_cond should be used instead.
forecast_handoff_written,PASS,07_forecast_handoff_v2.nc,"reported, not gated",False,6507 names thinned to 2000 posterior samples; replay with `python kalman_portfolio.py --handoff C:\Users\markm\PML_Finance_Project\pymc_kalman_filter_pt_v2_results\07_posterior\07_forecast_handoff_v2.nc`,"The run persisted the four posterior quantities the forward simulation reads, so the forecast and decision layers can be replayed off this fit in seconds instead of a NUTS run. REPORTED, NEVER GATED: it is a convenience artifact, and a run whose analytics exported correctly is not a failed run because a replay file could not be written. The latent stored is the SHRUNK one the screen reported -- storing the raw one would let a replay describe a different model while every gate still passed."
forecast_factor_effect,PASS,2.73x wider,"reported, not gated",False,equal-weight 50-name book sd 0.0605 with shared factors vs 0.0222 with independent shocks,"How much wider an equal-weight book's forward dispersion becomes once the §15 forecast's shared factors are applied, against the same book under cross-sectionally independent shocks. REPORTED, NEVER GATED: `forecast_factor_share` is a prior the panel cannot identify, so a threshold here would test only that the prior was applied. It is recorded because it is the size of the diversification that independent shocks give away for free -- which is how a long book comes to report a positive expected shortfall. Emitted only when `enable_forecast_layer` is on."
export_rowcount,PASS,9/9 non-empty; per-ISIN counts [6507],"all non-empty, per-ISIN frames agree",True,,Every curated frame is non-empty and agrees on row count. Catches the 'table exists with zero rows' failure that passes a naive vintage check.
export_finite,PASS,0 frame(s) with non-finite values,all numeric cells finite,True,,"BLOCKING: no exported frame may carry +/-inf. A quantity that is genuinely unbounded or undefined is exported as NULL with a BOOLEAN beside it saying why -- `kelly_max_feasible` / `kelly_unbounded` is the first instance. NaN is fine and always was: it is a SQL NULL, which is what 'not applicable' means. An infinity is neither representable nor aggregatable, and a float8 Infinity poisons every downstream AVG. The verdict names the COLUMN and the count: run 6efb530d5881 failed on one column at +inf for 626 of 6,513 names and reported only the frame."
export_unique_columns,PASS,0 frame(s) with duplicate columns,every frame has unique column names,True,,"BLOCKING: no exported frame may carry the same column name twice. A duplicate makes df[col] a DataFrame rather than a Series, so the ranking-range gate dies with 'arg must be a list, tuple, 1-d array, or Series' AFTER the fit has been paid for. Any rename() mapping one existing column onto another existing one creates this silently."
export_duplicate_content,PASS,0 frame(s) with undeclared duplicated content,"one column per quantity, or a declared reason for two",False,declared and re-verified: 8 pair(s) across 1 frame(s),"WARN: no exported frame should carry the same QUANTITY under two names. The sibling of export_unique_columns, which checks names and therefore passes on `weight` beside a byte-identical `book_weight`. Not blocking: an all-zero column legitimately equals another all-zero column, and a warning must never cost a run a fit already paid for. Pairs with a written reason they cannot be reduced to one name live in EXPORT_DECLARED_ALIASES and are reported as declared -- and RE-VERIFIED, since three of them are equal empirically rather than by definition. That split is what keeps the undeclared list short enough to act on: run 6efb530d5881 reported five frames and thirteen pairs, eleven with a settled reason, and a genuinely new duplicate would have arrived in the middle of that list."
export_ranking_range,PASS,0 column(s) out of range,|metric| <= 100 on non-suppressed rows,True,,
export_vintage,PASS,9/9 tables stamped 317dbfff4bcf,every written table carries exactly this run_id,True,,
