gate,status,value,threshold,blocking,detail,rationale
panel_t_eff,PASS,T_eff = 1.44 of T = 4,>= 1.30,True,"Widen the lookback grid. Measured optima on the 2026-08-18 universe: ('1y','6m','3m') = 1.54, ('6m','3m','1m') = 1.35, ('3m','1m','1w') = 1.19.",Effective independent observations per name. Below ~1.3 the trail is a near-duplicate of the snapshot and a T>1 likelihood over-counts evidence.
panel_kernel_fit,PASS,"rho_inf 0.409, ell 101d, rmse 0.0254",rmse <= 0.08,True,"Implied split: 41% permanent level, 59% decaying (half-life 70d). Compare against the posterior's rho_inf_implied after fitting.",The empirical correlation decay must be describable by the level+OU form the model assumes. A poor fit means the model's latent is the wrong shape.
drift_contrast_leakage,PASS,0 of 9 feature(s) measure the trail's increments (max dominance 0.97),"|corr(contrast)| <= 1.5 x max(|corr(level)|, 0.05)",True,"every feature is measured on the level, as the mean requires. Closest to the margin: feat_eps_signal_beat at dominance 0.97 (-0.10 level vs -0.10 at a 365d gap).","NEW: no drift feature may correlate materially more strongly with a trail CONTRAST than with the response level -- 'materially' being CONTRAST_DOMINANCE_MARGIN, since the bare comparison fires on sampling noise. mu_reg is constant in t, so such content cannot enter the mean -- and under a correlated likelihood the contrast directions carry ~12x the weight of the level, so it is absorbed by distorting the covariance instead. That is the whole of the 2026-08-18 ppc_t_spread / ppc_coverage / ppc_decay failure, and it costs milliseconds to check before the fit."
drift_selection,PASS,9 column(s) admitted; thinnest feat_eps_signal_beat at 86.4%,coverage >= 80% and |r(response)| >= 0.0248,False,"Reported, not gated: select_drift_features_v2 has already applied both floors. A column near the coverage threshold is one refresh away from leaving the design matrix, which changes the model without changing any code.","NEW, reported not gated: how much margin the admitted drift columns have over the coverage and signal floors. A column enters the design matrix mean-imputed wherever it is NULL, so a thin one is not an error, it is an attenuated slope -- feat_eps_signal_surprise sat at 79.1% coverage and |r| 0.007 and was fitted at beta +0.002."
runtime_estimate,PASS,"3.39 ms/grad, 56 free params, ~10.8 min [nutpie/NumbaLinker]",<= 90 min on a compiled sampler,True,"nutpie 0.16.11, 4 chains on 4 cores, assuming ~32 leapfrog steps/draw.","NEW: measured gradient cost x the NUTS budget must fit the runtime budget, on a compiled sampler. Catches in seconds what the 2026-08-18 run discovered 45 minutes in at 400 s/draw."
prior_scale,PASS,prior/empirical 90% width = 7.1x,1x - 10x,False,"prior 90% upside [-77.7%, +500.0%] vs empirical [-7.8%, +73.5%]",Prior-predictive implied upside must cover the empirical range without putting most of its mass outside it.
divergences,PASS,0,0,True,A non-zero count invalidates the geometry regardless of R-hat.,NUTS divergences. Any non-zero value invalidates the geometry.
r_hat,PASS,1.0023 (sigma_sector_offset[Industrials]),< 1.01,True,,Between-chain convergence. The project gate is < 1.01.
ess_bulk,PASS,1704 (log_sigma_total),>= 400,True,,"Bulk ESS floor, MIN_ESS_GATE = 400."
mean_spread,PASS,Var(mu)/Var(y_now) = 0.44,<= 1.00,True,"Var(mu) 0.398, Var(y_now) 0.911, max |beta| 0.408. Above 1 the mean is not explaining the response, it is adding variance to it -- look for a design column the mean cannot legally use (drift_contrast_leakage) before touching the likelihood. This gate is ONE-SIDED and cannot see an under-dispersed mean; mean_calibration can.",NEW: the fitted mean may not have more variance than the response it predicts. Var(mu_reg) reached 2.9x Var(y_snapshot) on 2026-08-18 while every convergence gate passed; one line here would have caught it before the posterior predictive ran.
mean_calibration,PASS,"slope 1.047, 2Cov(mu,resid)/Var(y) = +0.041","slope in [0.90, 1.10]",False,"Slope > 1 means the mean is over-shrunk and the missing permanent variance is parked in Cov(mu, resid), which no replicate reproduces -- read ppc_decay next. Slope < 1 means the mean is over-fitted; read mean_spread and ppc_t_spread. Measured 1.230 / +0.151 on run fa532b925732, which is the whole of that run's ppc_decay failure.","NEW: the slope of the response on the fitted mean must be ~1. An over-shrunk mean does not lose its missing variance, it parks it in Cov(mu, resid) -- and because mu is constant in t that is PERMANENT variance no replicate carries, which is exactly how run fa532b925732 failed ppc_decay (slope 1.230, 15.1% of Var(y_now)) while mean_spread read a healthy 0.33. mean_spread is one-sided and structurally cannot see this; that is why both exist."
